son,parent
2490831,725997
2266842,725997
1982114,728264
1185510,748975
1776347,1245172
1174310,1511787
1336283,1511787
1511818,1511787
1009319,1015462
1264737,1264736
2351169,1027021
1014387,1076628
1069991,1151879
1217190,2422851
2219219,2422851
1556605,1228772
1076629,1245172
2435701,1015462
1028418,166972
1134526,721037
1142630,732269
1353798,732269
1043750,732269
1038537,784762
748328,784762
1314237,792208
2460169,792929
1169672,793678
1346319,1251553
2166453,1265897
1183844,1266745
1313603,1297629
1783700,1304175
1182334,1327999
2137443,1245730
2454717,1007792
1185193,1007792
1039672,1007792
1259575,1007792
1259555,1007792
1259506,1007792
1255073,1007792
1094441,1264493
1150844,1266736
1335548,1319633
1531208,1073893
1271758,1121518
1267863,1140416
1523482,1140416
1456991,2435529
1272023,1230704
1220232,1227881
1107060,1256066
1004968,1256066
2190011,723008
2095066,723008
1929289,725383
1043993,726068
2434442,1244903
1087971,1246045
2106926,771128
1742496,778691
1059729,778691
1825192,794277
1612733,1250177
1135898,1250177
1266582,1250177
1464546,1256508
1203904,1262206
2341413,1015741
1066869,1267354
1149651,1023522
1332476,1121390
1009434,1227933
1138793,2296334
1742488,778691
1149330,1257046
1061805,1090840
1524064,1015741
2128203,1015741
2420804,723906
1304639,723906
1028199,750542
1264671,1254085
1457888,1011289
2008047,1262245
1284259,1265658
2293129,1024886
2150636,1024886
1332970,1332966
2360548,1078324
1327272,1081197
2488489,1011289
1457645,1011289
1457633,1011289
1457593,1011289
1457573,1011289
1871127,1011289
1791412,1011289
1457852,1011289
1102000,1011289
1067427,1011289
2007911,1262245
1258940,1247287
1193739,1262245
1756246,1262277
1908074,1265731
1770113,1265731
769440,1266610
1123557,1023681
1325794,1091545
1325782,1091545
1067001,1183898
1526497,742929
1523899,1266610
2042188,759752
1657061,779594
1242589,786666
2225506,1331390
1014453,1088538
1130444,1147501
1220953,1164552
2439919,1164552
1070092,1164552
1029677,1164552
2263154,1226282
727428,720982
1270754,1001542
1464083,1251139
1462043,1251147
1226436,1256211
1220551,1256211
797493,1262706
797449,1262706
1231707,1262706
1000603,1265682
1265104,1048737
1071718,1070068
1100769,1087236
1541082,1087236
1049373,1172269
1791043,2432662
1230205,2449990
1120859,1228389
1343724,1228389
1078599,1251139
1461956,1251147
2434868,1251147
1356302,773720
1011249,1034235
2424829,2419468
1177918,1177776
1264398,1234851
2434924,751530
2449698,769982
1925586,1245604
1023272,1245604
1714473,1250194
1002928,1265807
1063140,1265976
1502509,1266237
2421601,1266658
1028797,1022228
2321912,1200784
1313131,1228615
1962298,1039624
1106502,723423
2494196,725164
2429587,728264
2170483,1245172
2495961,1250372
2124633,1027021
1070212,1273358
1255503,1282810
1913463,1076628
2264230,2422851
2072747,2024428
1083135,1234851
2277419,751530
2277354,751530
1076132,1250194
1162607,1008904
1097977,1262410
1679360,1265807
1120611,1266237
1013452,1128296
2138775,569145
1645694,1132564
1838267,1132564
1165087,1179314
1036213,1332116
2491336,1332116
1264138,769807
1125056,248298
1457952,787235
1264378,1264367
2257302,1266713
1085872,1267419
2486808,1275298
729499,2100804
1251249,1231617
1250265,1231617
1250261,1231617
1071187,126609
1064537,126609
1124239,758327
1783812,1243133
1768003,1018362
1287918,1287843
1889202,1124539
786277,1228382
1241675,1231295
1086571,758327
1248069,1265873
1980236,752272
1882331,752272
1810962,753133
1086438,767807
1121828,792914
1247591,1247426
2295147,1253562
2279388,1267691
1187130,1267691
1099686,1267691
1900969,1039028
1806436,1039028
1333785,1293079
1227295,1072402
2444940,1086400
2434309,1102154
1551978,1150140
1274068,753655
2284858,789886
1119358,1015153
1611911,1025246
1837183,1025246
1045054,1278931
1096257,1046730
1076704,1046730
1626745,1069129
1018359,1088352
1231375,1588931
1149010,1228385
751613,1228385
1117430,2489647
1263437,754906
1058292,1262355
1013685,1262355
1811767,2489647
1790000,2489647
2496083,725363
1965768,725363
1067862,725363
1250340,725363
2186027,742301
1278626,742301
2368422,758749
1031507,1250097
1154313,1250285
1473031,1258859
1078608,1033300
1074845,1033300
1833729,1290790
1449310,1045429
1250348,1333877
1132355,1081583
1270131,1090386
1014844,1098032
1106714,1149831
2427962,1081583
2139066,1081583
1168673,732806
1275139,745425
1040946,759561
1254496,790149
1240920,790972
1004011,1017653
1275562,1272884
1273223,1272884
1145615,1165661
1106304,1165661
1079780,1207212
1187049,735175
1121653,735175
1035723,735175
2048012,738466
2244717,741323
1269757,1251880
1091691,1262351
1829092,1262351
1146651,1265746
1210385,1273396
1149970,1027019
1393384,2104835
2109647,1075690
1274151,1127927
1228025,1626968
1075423,1227999
1583653,1262351
1249543,1262351
1083093,723340
2130095,723340
1148564,1013365
1051675,1013365
1040078,1013365
1127582,1019131
1142695,1019348
1778812,1025910
2442239,1274340
1363111,1073093
